Time,kVARh,kWh,Power_Factor
655,89.099998,186.869996,0.910895166666667
656,156.359998,254.189994,0.854446
657,170.759994,300.269993,0.869004333333333
658,168.539996,319.289988,0.884185583333333
659,170.789994,326.519991,0.885744
660,171.329997,335.039994,0.890251666666667
661,171.869998,329.81999,0.886436833333334
662,169.559997,318.749991,0.882801416666667
663,170.009997,323.189996,0.885003833333333
664,171.809997,306.509994,0.8722095
665,165.389997,287.369995,0.866688083333333
666,164.699996,279.899994,0.861798666666667
667,164.34,275.219998,0.858341166666667
668,167.669998,257.009997,0.8374
669,96.299999,193.769996,0.8967725
670,47.04,158.459995,0.958622583333333
671,46.83,123.509997,0.934250083333333
672,53.25,115.77,0.908393384615385
673,43.86,103.319999,0.919884363636364
674,47.82,110.549998,0.917143916666667
675,46.86,106.019998,0.914611333333333
676,44.34,106.949999,0.923499333333333
677,97.889998,162.119998,0.875134083333333
678,171.389995,217.919993,0.786006583333333
679,115.499997,192.629998,0.86900675
680,150.629999,254.729994,0.863339583333333
681,162.479996,293.219995,0.874235916666667
682,162.419998,313.169997,0.887651916666667
683,161.519997,326.459994,0.8961865
684,161.819996,332.789992,0.899126416666667
685,163.499997,332.819993,0.89738625
686,162.089995,320.339992,0.892231666666667
687,166.499996,321.059993,0.887681166666667
688,162.959997,306.179993,0.882741916666667
689,166.049993,293.699992,0.870458083333333
690,167.369998,289.379991,0.86561325
691,171.629998,277.589991,0.850423666666667
692,175.139995,267.479994,0.836474
693,98.94,201.719997,0.898939583333333
694,60.93,167.789998,0.939287583333333
695,81.36,153.209998,0.882816083333333
696,88.32,155.309996,0.869216461538462
697,73.71,138.539995,0.882606909090909
698,80.67,139.41,0.865535083333334
699,80.28,139.769999,0.867143833333333
700,93.119999,158.009993,0.865253583333333
701,178.949997,227.789992,0.786155916666667
702,174.179998,220.709993,0.785007583333333
703,168.449997,245.279993,0.823548
704,161.039997,267.149996,0.8565545
705,166.109996,300.269994,0.874681333333333
706,164.76,310.679993,0.8833845
707,165.869998,323.909996,0.890043166666667
708,166.769995,327.269994,0.890930916666667
709,165.629997,322.949995,0.889739833333333
710,165.719994,312.929993,0.883651666666667
711,167.819997,312.599994,0.88092925
712,169.679994,301.55999,0.871504583333333
713,161.039998,286.709992,0.871872166666667
714,161.009999,287.039993,0.87201425
715,164.069997,267.749993,0.852593
716,167.099997,251.429996,0.832724416666667
717,95.73,195.389998,0.898727833333333
718,54.36,143.279997,0.9352385
719,78.45,149.309997,0.884773166666667
720,85.17,146.609999,0.864620384615385
721,71.34,132.84,0.880655272727273
722,77.7,134.279996,0.865544333333333
723,79.32,134.639997,0.861603833333333
724,74.67,135.719996,0.876093416666667
725,46.05,111.689996,0.923723916666667
726,45.93,104.609998,0.915524166666667
727,42.09,124.589998,0.946816166666667
728,153.569999,240.629993,0.8459015
729,165.959997,272.309993,0.85370175
730,163.619997,279.389995,0.862814083333333
731,166.259997,285.749994,0.864270083333333
732,165.539998,299.399993,0.874879083333333
733,165.149996,291.929993,0.870143583333333
734,163.919999,277.799997,0.861240416666667
735,166.139998,288.959996,0.866831083333333
736,168.359999,273.689993,0.851726583333333
737,160.079998,255.569994,0.847478
